e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31,e32,e33,e34,e35,e36,e37,e38,e39,e40,e41,e42,e43,e44,e45,e46,e47,e48,e49,integer,log_integer
3,1,4,0,4,1,1,0,3,3,0,1,3,4,3,4,2,2,4,0,3,4,1,3,2,4,3,4,2,1,4,4,0,4,4,0,2,1,4,2,0,0,4,3,1,1,0,1,1,4,308530272734545861233379865369197038608371817541887846950042363409493022015074398899287796645917836915245405195755838691616877173848323693620783726177361367520832758783176305400347709827827798315435000,461.6436683801513
2,2,4,3,2,3,0,0,0,0,1,3,3,1,2,1,4,4,4,4,1,1,3,3,2,0,1,0,4,2,1,3,4,2,1,3,1,0,3,1,3,0,3,4,4,1,3,2,3,0,4465716891029133272760665594212786430855878349096582878832047110961483352201837938634237132156717391022362960581163958466532723643834178490287356128598483320909899834523189640513963957500,429.7772570562342
0,1,1,4,0,4,0,4,2,2,1,0,0,0,4,4,0,2,4,3,2,4,4,1,3,1,4,2,4,1,3,0,0,0,3,3,4,3,0,3,3,1,3,3,2,1,0,3,2,3,2779558869559563976754888669695723893222149613788480588051810831588298668775314529637536570889056123903646725549261091787943394504972032334752380286098270052275020023398433225888032978137616805,443.11863008995374
1,2,3,1,2,3,0,4,0,4,1,0,0,0,0,3,1,2,2,2,0,1,4,0,3,2,3,0,3,0,2,3,0,0,2,3,1,3,2,3,0,3,2,2,0,1,0,1,1,0,9654227877746745425649673496434798067088783661877499121118749027940296240262325644991925627270224806431307062004427729927042930404817750,313.1163834956459
2,1,2,0,1,2,2,4,4,1,0,3,2,2,2,2,3,4,3,1,0,1,4,3,1,2,4,4,3,0,3,3,1,0,1,1,3,0,4,1,2,3,0,2,0,3,2,4,4,4,167451952194304884441733049593668338461352346941792596503954252827857895055365171457983309849108739152819292388041327068495445108014082742445326870730252204604852098580581260989593892175800480900,447.21703431240053
3,0,2,2,2,2,4,3,1,3,0,4,3,1,3,3,2,0,4,2,0,3,1,4,4,0,0,4,0,1,3,1,4,3,2,1,3,3,3,1,1,4,3,2,2,1,2,1,1,3,788406043721572640216588646814090550941363996273054522466714608499375674674234386675980037422640508770365057641931184413123744919750585683214023448617661323081143363676172471777515794659632600,441.85859581692995
0,0,0,2,4,1,4,1,0,0,2,0,1,2,2,1,0,4,1,0,0,4,4,2,3,0,3,3,1,1,1,4,2,2,0,2,2,3,2,4,0,4,3,1,3,4,4,0,3,1,1955112794655544233703716022609855131765099787072799671410219783283454972457582905819083294303996302853713101799913736866306520348923878458628928626794439186513972508474879970129,408.2280093471951
2,1,1,3,2,0,0,2,1,1,2,1,3,2,3,4,1,2,4,0,0,1,4,1,1,3,0,2,4,3,1,1,0,0,1,3,1,4,3,1,2,3,3,0,2,3,4,0,4,3,14933805656904192766753842652183061747454270250179280395784565277818016509420590521164854455927709193921034117161009240139206925383495502843634061890820318793308337507179929860,403.3534336600271
3,2,0,2,0,0,3,1,1,1,2,2,4,4,2,2,4,2,4,0,0,3,2,1,4,1,2,0,4,4,3,0,1,4,0,2,3,1,1,1,1,4,0,4,4,0,4,4,1,2,10593433924838294652199272730935202166414474689579118362418934654625635959054136058804440126633832470551553796072469280171822366696254841241604947908009699528924012345645752559426873094536,430.64106166502467
1,4,4,4,3,0,1,1,1,1,2,1,2,2,4,0,0,2,0,3,2,0,4,1,2,0,0,0,4,0,4,4,3,2,3,2,4,3,2,1,2,1,2,1,3,1,3,1,4,1,431661341825129721421230635803672479293375777454919258219018792030061699998774173916077389834709380310550820355801373129561358899154663898176831462155512398576721391589546250,399.809692251831
3,2,4,2,0,2,3,3,4,4,4,0,4,4,0,4,1,3,4,2,3,1,1,2,2,0,1,3,2,4,4,3,0,3,2,4,1,3,1,4,2,4,1,3,2,3,0,4,3,1,1950933169305597030876405149980528082051270865508631364851774094951509114598554932016254886880474932138770372069713198050900526788157648195465507179142827888813026292629736347560482781315896009761161232434666179295000,498.02668789318363
4,2,1,0,2,2,2,0,3,3,3,4,0,1,1,1,1,4,1,1,1,1,4,1,2,0,1,3,3,1,2,1,0,0,4,4,1,0,2,0,2,3,0,2,0,2,3,3,4,0,22821963545912155583930215755480188662692484576988263492953454687198548823261048854999439794193974729992700817696686523981713681509019166617996581928710640,355.423242613778
4,2,1,1,4,1,1,4,0,0,0,3,1,3,3,3,1,1,0,3,0,1,1,3,3,3,4,1,2,0,3,0,2,4,4,3,1,2,2,2,4,0,3,1,1,2,0,2,0,0,197360251100348735545712060425910170562089892091738479781968610518480549390347030557515121215423668341151937594473666857733909291373784706953594746471895894315120,371.3960605305696
3,0,1,3,3,0,4,3,2,1,3,1,3,3,3,1,2,2,2,0,1,3,3,1,3,2,3,1,3,0,2,4,2,2,0,2,0,0,2,4,0,4,2,1,0,3,2,2,0,0,103594557848694480254318340946740889207648891270578620426248375464901325794398446364058775839094536700626028385648060072824480391346077594171800471484093024714860920,377.659269863063
3,1,0,2,4,1,0,1,4,0,1,2,2,0,1,4,1,0,2,2,2,1,3,4,4,4,1,2,3,0,3,1,3,4,0,0,2,0,2,2,0,2,0,3,4,3,4,3,2,0,149878672217596676297410490290195959215329478133413907180891265582471560245169802894906650965092721866060315901697998366515266969405126991962664148794167259629279337312002024,398.7518770168982
3,4,0,3,3,2,4,0,3,3,1,1,4,4,2,0,3,4,1,0,4,0,2,2,4,0,2,4,0,0,2,4,0,2,1,4,1,2,0,2,0,0,3,0,3,2,0,1,3,1,1232979823243915952609010470827772846463467374706403631525727100808019136467160139736114970036113234379293660986916561361841109460766408144822531494146409072017592,373.22821892512906
0,0,0,4,1,2,2,2,2,1,4,1,1,3,4,2,3,0,0,1,0,0,4,2,4,4,1,1,2,1,4,0,2,4,4,3,2,2,4,4,3,3,3,3,1,0,1,0,4,3,25970729426214042497649000736901847780601364335873579973535091107641983882173737854531764831455085374002661528833671090040510434202712220449532980954606997960578080557092241584931185723217380139997,452.26106324638187
4,2,1,0,0,4,2,4,2,4,4,2,0,1,3,0,0,0,2,3,3,1,3,4,2,2,2,4,2,4,2,0,0,1,3,1,1,0,4,1,1,2,1,2,2,1,4,1,4,3,80484663245159491085086606588732927897910030326599670917263777869007170330766035266048285479453389091154356401644224925109079265046244501828195671443424557695645657271900072638640,411.9456281075259
4,0,3,4,2,1,1,4,0,4,2,2,3,0,3,3,4,4,3,4,2,4,1,0,2,3,2,2,2,2,3,4,1,2,2,4,0,0,3,4,3,4,3,1,1,2,3,2,4,0,403187441848768576186102946068884505581760743447670836378586396981820008804492485333607133410850658661961923097171833802198744585808868551600162325993198194871987700226658313679010569586717690180964571469932754000,489.5422710988133
3,0,4,3,3,2,2,1,1,4,1,3,1,0,1,3,0,3,1,2,2,2,0,0,0,4,1,2,2,2,3,0,4,1,0,4,4,2,1,4,3,2,1,0,0,0,0,0,2,1,39290263463296001780715921000188545033779279468085227017372441145806025223047748999091882949851581429744416420091093089336075195139338358738732535000,342.15098540927954
0,4,4,0,2,3,1,1,0,2,4,1,2,2,1,3,4,0,2,4,2,0,1,0,2,3,2,3,2,1,2,3,1,2,1,0,0,1,3,2,3,3,1,1,0,3,4,4,2,4,626486724743318766118875905189989484573738485238942547482629805007723196195018304532202863271697663563248533116351728786824317844694895441343432411488887506212927196209760300625,407.0899337655198
3,0,2,4,0,1,1,4,2,2,3,1,0,0,2,0,4,2,3,3,0,0,2,1,0,1,0,1,1,0,2,3,0,3,2,2,4,1,2,4,2,0,1,3,1,0,1,4,3,3,4068808710152418321037250563629130243600061445348322528672739227935623896652704413945486208040777970021882101992562452559886189299150545917263407757506600,353.69886948449016
0,1,3,1,2,4,0,2,3,0,3,4,4,2,4,1,1,2,4,1,0,3,3,2,4,2,4,2,2,3,3,3,4,2,3,0,1,1,0,0,1,2,2,2,2,1,2,4,4,0,2007971385233613956959673473357194193331467961146023999086400967061265503387993012851883875902048609280737848069798819968194005806470353424941864774016984574278412941720315502739638840250025375,442.793462806203
0,3,0,1,2,0,2,4,3,4,0,2,0,4,2,3,0,2,2,4,2,3,1,2,0,4,0,2,2,0,4,0,1,2,1,2,4,1,1,3,2,3,4,0,3,1,3,2,1,2,50745374935567507910958859884443332837447308455076122683934471185845538267352672533692705312626705563680842141457522731528787726686506776243356065321443067531156834978843160697,404.5766266604583
2,2,3,2,3,3,0,4,2,3,3,2,3,3,4,3,1,1,1,2,0,2,2,3,2,2,2,1,3,2,0,2,3,2,1,2,0,2,1,3,1,0,4,4,1,4,4,1,2,4,4972862856744420191508817584115496939485634664460434852103565004922292030651548376425435024110418108984713056517224910408610416940229218855542281149128483179673423986104805783368359261171979500,443.7003335566391
1,0,0,0,1,3,1,2,3,3,3,2,1,3,2,3,3,3,1,1,1,2,4,2,2,4,0,4,2,0,3,3,3,3,2,4,2,0,2,0,3,3,2,0,2,3,2,1,0,4,582587670784965587152091337358440653466387985437765574558813515818099102524177305060369050154107697148882879302547296741025115929296005983302662883927547211058704516328725457370367880505582,434.64830697879256
0,1,0,0,2,3,0,0,4,4,3,3,1,0,3,1,2,0,1,0,0,3,4,0,0,2,3,1,2,1,1,0,3,0,4,3,0,1,4,4,3,2,3,4,1,2,1,2,1,4,2743360280102630676738600749718903586938291729860350623339072779982857714036393293983763537826438364709448172815060452204749150763081816396667846109413036620004052890709,387.84347917160994
0,1,3,4,4,3,3,2,0,1,0,1,3,4,0,1,0,2,4,1,4,0,4,2,3,3,3,4,4,1,2,0,0,1,0,1,2,1,4,0,3,1,4,2,2,3,1,3,3,4,105326278017484208828328830879602257020617827014619416512100589689703197007096232722954745565282346498051834609304155382858862478906807052715754310416258620733137138749329799090446301555875,432.9378902387213
2,0,3,1,0,3,4,0,2,4,2,0,0,1,2,4,3,1,4,0,1,1,0,1,2,0,3,3,0,2,0,0,4,2,4,0,3,3,4,1,3,2,1,4,0,2,0,0,2,1,634926985663451172091219777619124763280322721070489686295765732051998855608688383092035182557578476226418601538670479190314951335381685634256803461940151500,358.7490292371634
4,1,2,3,1,1,4,1,1,0,4,2,3,1,3,1,4,0,3,2,3,1,3,3,4,4,2,2,4,2,2,1,4,0,0,4,2,4,4,2,3,1,0,1,1,2,3,2,3,1,6232592970814413906592616326500442921030896080767821884088296659610224468136242818513497636075578136357223317464826111390300858476264376840843894168787567595235065282805329147244220044465337491221200,457.7416408662235
4,4,2,3,2,1,0,0,0,3,2,1,2,4,1,0,1,2,0,0,1,4,3,3,3,3,1,1,3,2,2,3,2,2,1,0,0,4,1,1,2,2,1,1,2,1,0,3,2,2,63179803702779768737902815354008249916033808596061314381838191629230965872183079664084264913924045845807310642416537757636611939722531426100133383403626800,356.44150391650624
3,3,2,3,1,2,0,4,4,3,4,1,2,3,1,2,3,1,3,0,2,4,2,2,1,3,3,4,2,4,3,0,0,3,3,1,3,0,4,0,3,3,4,4,2,2,3,3,0,4,499763264492692484084037970659644078475665182610648410131410596762382841656090320950116429409321599478155480157340990135808838724286575228210347182957722496036325981302157419256452615047065330710711394977979834600,489.7570040440344
2,4,4,0,3,3,3,4,0,1,2,3,1,2,0,1,1,2,3,3,1,2,3,0,2,4,3,4,0,1,4,1,1,1,3,2,1,4,2,4,1,1,2,4,2,3,4,3,3,3,44029475230164671920816065816248528768594410353289965309327856811593181521548233526290815330621833482039730631778626908016264805965700572466903306897137648588090580785854835912624757180382514405764142500,466.60446299303885
3,1,3,2,3,4,3,2,0,2,1,0,0,3,4,0,1,2,0,3,2,4,0,4,4,2,2,1,2,2,1,0,1,4,1,1,0,0,2,4,3,1,4,0,1,4,0,0,0,4,68364642264686385867337101231455280698866243686535768830118670657436239837412885500687695653903203664502186175212027224653139481186729936275491277746534672013000,370.3358855510746
0,0,1,2,1,3,2,1,3,0,0,3,0,2,2,0,4,4,4,2,3,4,1,3,0,2,3,2,3,0,3,0,0,4,2,1,3,0,3,2,3,0,2,3,3,2,1,1,4,1,3682312491097297991326239950009123366895654539078983642515668307237605640338825299484933003101322377590770111316102982101065815393895383876277977934641706228880828180971425020655,408.8611024090898
2,2,1,1,4,1,4,1,2,2,4,4,2,1,4,3,1,4,3,3,0,3,1,4,4,2,3,4,3,2,3,1,2,1,0,4,2,1,3,0,1,4,2,3,2,0,2,2,1,4,136792061653585509873420337031821703542076721244096168642754070625599870482831457825420053887827990475808550525919250420168123486686770069622315646576273622857958230415954877829787780324855608863111661098020,474.645820945442
4,4,3,1,1,1,0,4,0,3,2,2,0,3,2,3,1,3,1,1,2,3,0,4,0,4,4,1,4,3,1,0,3,4,2,1,1,1,0,1,2,0,2,3,3,4,0,4,0,2,1123538066646975600627014792113171410480239860334177251130340888961276342128419007206740552106474422302292490283431062752596693076407798823219763302616468177312904549191062000,400.766288875229
2,2,4,3,2,4,4,4,1,2,4,2,3,4,3,4,4,1,1,2,3,1,3,2,1,1,2,1,2,3,2,3,0,2,4,4,2,0,1,2,2,1,1,4,2,2,1,0,3,2,61383213905051035779265976897768812076859362897953390590778934813579820809869003243077321250017490455191395738886716011183561283831880195874060880871014320073609382488700385482605416987500855032500,453.1212295424458
2,0,0,0,0,2,2,4,4,1,4,2,4,3,2,0,3,3,0,2,0,1,3,1,1,1,4,2,0,1,1,0,2,2,3,1,0,3,2,1,1,1,1,4,4,3,3,2,3,4,128618558678920271447534608715609919386920903521673270262412928013007923620950468576539229478456639481981650067638805156859868948259930090024626801520537070885541723205567873204,405.5066572955662
0,1,2,4,0,2,4,1,1,2,1,1,1,3,3,2,4,2,1,4,1,0,0,2,3,2,3,2,3,4,4,4,0,2,4,4,3,4,2,0,2,4,3,4,1,3,0,2,4,0,2190148649797762107048506443611243078453820905952028924424500549960117005443700190385032519410265832336227682786342749846789810696953212676467003773610180635324211293085042482951889108115472542386614611137825,477.41908366791233
1,3,0,4,2,3,4,1,0,2,1,3,2,1,0,1,0,3,3,3,0,0,0,1,1,1,2,4,0,0,4,1,3,3,2,0,4,3,1,2,0,1,1,0,4,2,1,3,0,1,622382844744976692975888714709840231356689182584937852243030587915599556302896065601214105269723193711453898045995496288994745912481081050313222774,338.0058088005565
4,3,3,3,0,0,3,1,1,0,2,2,4,4,3,3,4,0,1,3,2,1,0,3,1,3,2,4,0,0,2,3,3,1,4,3,3,1,1,4,1,2,4,4,3,3,3,4,0,4,8098791596658364755384190807431697337887809407824328458253959110328945063431091961926587888247507805478155036341887257218254543483000602968124966488546990104032232167810870162128796853555242307001984983474000,478.72682911471884
0,3,3,3,3,4,1,3,3,1,1,0,3,3,3,3,1,4,1,0,1,2,0,0,2,2,1,1,0,2,2,1,1,2,1,0,1,0,3,3,2,1,4,3,4,3,3,4,1,1,4017746960425478810949037317584369637320161272462244186741481349239459915575833429006281848991297487227973153179059440536933590709877191437527547994260465554975293958375,388.2250169109099
3,3,1,1,1,4,2,1,3,0,2,3,4,3,1,1,0,1,4,4,3,1,0,2,4,0,4,1,1,2,3,0,3,0,3,4,2,4,0,1,0,1,2,1,4,4,1,3,4,2,1304348363518508874981462830737871048316527757998218737771325706794557614190266401356192452040437645446447937910418850674686920648467576472463014055040853627343311933789993692880841696840,428.5465308746563
3,1,2,1,2,0,0,2,3,4,2,4,1,1,2,1,2,1,4,1,1,0,0,4,4,2,3,2,3,0,0,1,1,2,0,3,4,1,4,1,1,1,0,1,4,0,2,0,3,3,11196634774442044660898669332516325238554924856541244971081869713538499012527371999196663139971540067692842740307136814269104641601559768870958880414563575535800,368.5266430526375
3,2,2,3,3,3,4,0,0,1,1,1,0,4,3,3,4,4,3,2,3,4,1,0,2,0,3,0,2,3,3,0,4,0,2,1,3,0,3,4,1,3,4,3,3,1,3,2,2,4,596988800490570534366811413375050411425402419228498410374170204245466272148732819588577485124486079784193690801375762250202501840088115695182726868893100294198773230621525037864411382323535947525617400,462.3037467663904
0,1,4,2,3,1,1,0,4,2,0,0,3,4,0,1,1,2,0,0,3,0,4,4,1,0,3,0,2,4,0,4,0,1,3,1,1,0,3,2,1,0,4,0,2,2,0,3,1,2,89700041330641392532270267833348506067995638941941050290447356500179601920679393522584207947280648669759600928219428605755522748977036597317035625,336.06872462097243
0,0,4,1,3,1,3,2,3,0,0,3,0,1,4,3,4,0,4,2,4,3,1,2,0,2,4,2,4,1,3,2,4,0,1,3,3,0,1,3,1,0,1,1,3,4,2,2,2,1,269805882990116718150636028779711067748465122184978473963703860670351379905354602410598777772392908843753216348804642175548779724176292168112945927271914528918034907556439494086154375,420.0630194874683
1,3,2,1,1,3,4,0,3,1,0,1,1,1,3,0,3,0,2,0,2,2,2,4,4,1,2,2,3,4,4,2,0,1,1,0,3,2,4,4,2,2,1,3,1,0,2,1,3,3,363342517865774023499645286167443046259211163204006823807480601918052045605649693218980664804674724399707601826631670368615950036512246376050946507856063170492912029563218728950,406.54515214572916
3,0,4,4,3,2,0,2,2,4,2,1,0,1,1,1,0,1,1,0,1,0,2,1,1,3,1,2,3,1,4,2,0,3,4,3,4,3,0,1,3,3,4,1,4,0,0,0,2,1,6301506106027412133767879214726405500043043661084095974025237730563052559131557276916703725680186373092994144933333154056353758033631976608132958337320028395000,367.9518184553282
2,0,0,3,0,3,2,2,1,1,0,1,2,0,1,3,2,4,2,4,0,4,1,1,1,4,3,4,2,1,1,4,2,0,3,1,4,3,2,1,2,0,2,2,1,4,2,3,4,2,1153863221254368110695682752917123318559263237246299934479769677209686380843011658710504028428096199479512950756219474724824889099986086157322133213617826367407815148251858002399320538188,428.42394293217757
0,2,4,0,3,1,3,2,4,0,3,2,3,2,3,2,4,0,3,2,3,0,3,3,3,0,2,0,2,4,4,3,1,1,3,3,1,2,3,0,1,2,1,2,4,1,2,2,0,4,742302277885464457759907310414656046625255146985351642873758405306355343141052032677741892633315321665223588831012084277660942019379486600604142849704324072589047787920414212626839628588125,434.89058383969706
2,2,4,2,0,1,0,2,1,0,0,0,3,1,3,1,0,1,1,1,2,4,0,0,3,0,2,2,2,1,4,1,3,1,3,0,4,2,0,0,3,4,1,1,3,3,0,0,2,4,21921138263765768144270164494820221761745450906911318985556709424499664150468625525268158241638085287888732603463766003451137842420816086266969842500,341.5674600589478
0,2,2,3,2,2,4,4,0,4,3,1,0,4,2,2,3,4,3,2,0,0,1,1,1,1,1,2,0,2,2,3,4,0,3,4,0,0,0,0,2,2,3,0,4,3,4,2,0,2,13157288051981800559534795832228594003486772180863055454327086087455124633502545400583802463963291635759011485968641247928078269720757044089226396934255217520154736191475,389.4112714525831
1,1,0,1,3,3,3,4,2,0,1,1,3,1,0,0,2,0,1,0,4,2,4,4,4,1,3,0,4,3,0,2,1,3,1,3,3,0,4,3,4,3,1,1,1,3,0,0,0,0,609126704441546747264088106787032971516550559116946927898129079078285884462949915477511898357052907261223614715385321534086956652228827827720591179443625210578495142,379.4308113643754
4,2,0,2,0,2,1,4,4,2,3,4,2,0,0,3,1,1,3,1,1,1,3,0,0,2,3,0,3,2,2,1,3,0,4,3,0,4,4,0,3,0,4,1,2,3,2,4,2,2,275374757307257424202423881858530622023655315055155717625874910489057813164339397698270527350251849169927853481554429535316867983917286067091517652270582988738562111199366844580976,413.17569438375097
4,4,1,2,2,2,4,4,3,1,2,0,4,1,1,2,4,4,1,2,2,3,4,1,0,1,3,0,3,4,3,1,3,2,4,2,3,3,1,1,4,3,0,2,0,2,1,1,2,1,2037635056880725416336867379281163441640518393524975367640774376609748633905086456972558645493429053319322039619981588287381209577534853467972719301849992184043288977996203099637440547575120,435.90037242539637
0,0,2,3,4,3,4,3,0,2,2,0,3,0,2,4,1,0,2,4,4,0,3,3,0,3,1,4,3,1,0,4,4,0,0,2,4,1,4,2,0,4,0,3,1,1,3,2,2,1,218777257861541061685837961875592745424892613099126466624330368080272735367577704011717236134646549639003515583393474023874406751292225001845252720126272091397850687728541627076653225,419.8533708637701
3,4,4,4,2,0,4,0,2,0,4,0,1,4,1,0,4,3,4,3,2,4,4,0,4,4,2,4,1,0,4,2,1,4,3,2,3,2,4,2,0,2,3,0,1,4,2,3,4,0,32887729293762652855240483845050649043478198034453633872082984553577333879094677605624840045522967964987923988510000935438771910994110899016559129310130316643289078611119392146556475435225533369896781529616385000,487.0359691471559
2,3,2,0,1,1,1,4,3,0,0,2,4,4,4,3,2,1,2,3,1,4,2,1,2,2,4,1,0,4,0,2,4,2,2,3,3,3,2,0,0,0,4,4,1,1,4,3,1,3,202888877714223959863510331631119407155800997858359126032604122232801126470327294700790157218523804211615240705729436491629465717881114993931938429611454611124204896153210873499987666665571798900,447.40899628359773
3,1,4,2,0,1,0,2,0,0,3,2,1,4,3,1,2,3,1,2,3,1,1,4,1,3,1,0,0,4,0,1,3,1,3,2,4,3,1,4,3,4,4,4,0,1,0,3,0,2,14221871492636479923949477851035864335482450243457577606370014248436593982649901137758799421252763987266260216494795954420793731983463361449649169432358561474605622896931551485000,410.2123424855514
2,2,4,4,0,2,4,0,2,2,1,0,1,2,4,4,3,1,2,2,0,4,3,1,0,3,3,1,3,3,1,0,4,1,4,1,2,4,4,0,1,2,0,3,1,3,1,1,3,1,200628063056415894499525579016900089724293745252986238440633152108495493726115094831255023562277010497912334782825184885898219979575390069817635981894693261225518958896548796257500,412.8590142212847
3,2,1,0,0,0,2,0,2,1,3,0,1,1,2,4,2,4,2,3,4,4,1,1,3,1,1,3,4,0,2,2,1,2,1,0,4,4,3,1,2,3,0,0,2,0,4,0,3,1,2241742752219485663856699119025727736389578783847786448161119391106886919570945002397523655645450910247430736903009945035463472404986890362964462268469677815720406668520,387.641549200754
2,3,0,3,4,1,3,0,2,3,2,4,3,2,0,4,4,4,3,1,3,3,1,2,1,2,3,4,2,0,4,0,0,3,3,1,3,3,2,2,0,4,4,1,3,1,2,4,1,1,7215517738619320455768331880334604804338773510616768706910735650745544094197070725649486233643054159151998044350129799994568644226365526078586624580585773034260468054225242924194206163967304943870860036,464.7958376400989
2,3,3,0,4,3,1,3,1,1,4,4,4,0,2,1,3,4,2,4,2,0,3,3,3,2,0,2,0,4,3,4,0,0,4,2,1,1,0,2,1,3,4,2,0,3,2,1,2,0,257970958333443053928852300247976146904859391071690731169737132768176417596888539387211618220432055602363520982650729974556662247294070251346544659911561779791039368874358895651338500,420.0181637529149
2,4,0,4,4,1,2,3,1,4,3,1,2,1,2,2,0,4,4,1,0,4,3,0,2,1,4,1,4,0,0,0,1,3,4,1,2,3,1,3,0,3,0,2,4,0,2,0,1,1,3273924073570665999453792888665314219038278500313490514146378602799704146711656977387362885729345948382681302636850700817426543239189777470787494047547102819665700052,381.11252963197387
1,4,0,0,3,0,0,2,4,1,3,4,1,4,2,4,4,1,2,2,2,4,4,0,3,3,1,1,4,4,1,2,3,4,3,2,4,0,1,0,1,4,4,2,1,3,3,1,4,0,4459033369780688254163887608369150163625507750565505816494282107188097393680322187671471970883624976053882055710774135477325837071484060356113530299079316265402160903569936119831555309178452408632378333461482,478.1300462590764
2,0,3,2,0,3,1,1,0,4,0,4,1,3,3,2,1,2,1,3,4,3,3,4,4,4,3,2,0,1,1,0,4,4,0,1,3,0,0,0,1,4,0,1,3,1,2,2,2,1,10853006536883173058533921467219465225969343282251826819395281641067175734251592890186217926728168996559339898835656071096894101005227462288871107929096255687960437929055500,396.1264930437567
4,1,1,0,0,1,0,1,0,0,1,2,1,1,0,1,1,1,3,2,3,2,0,1,2,3,2,2,0,4,1,2,3,3,3,3,0,3,3,4,1,4,1,4,2,4,4,3,1,4,7006904503726422995980515810282609726583337313564541833971801685374049015985391763245132828644229580685926273131117688314510098121574798649150917831763394939383364769195119383368392880,423.3199680385098
4,1,2,4,2,2,0,0,3,2,3,4,4,4,3,4,2,2,0,2,0,3,2,0,3,2,2,1,0,1,3,3,4,1,1,3,0,1,3,1,0,2,2,2,0,2,3,4,3,1,117593309033627871238491453249821614995881346418692026107048817000781627320310157321629239301542014752961680008291239940447360931705596156220745199967907430530946033162949233686800,412.32479359781945
0,1,2,0,0,2,0,4,0,1,2,1,1,3,2,4,2,4,1,3,1,1,2,3,4,0,2,3,0,0,1,2,3,4,1,2,3,3,1,4,2,0,3,1,3,3,0,1,3,0,434920455199748373772712665553995521763588159586503186853876363072282141001919467944199761897993818773698840981519684051961399087638462916300313164403239551794489441362075,392.90945877575734
4,0,2,4,1,3,2,0,4,2,4,1,3,1,0,3,2,1,4,0,3,3,3,4,2,4,0,3,0,0,0,4,3,0,1,0,0,4,1,0,1,3,3,3,4,1,1,4,0,0,92963924211980822799940182199052285282131208578598604926705176755010817604729634111711649897974294226301769357217863057068813903340852708227338821147382184100851528048400,391.3665071291966
1,0,3,1,1,3,3,4,1,3,4,3,2,3,4,0,0,4,3,4,4,0,1,3,1,4,4,2,1,1,0,2,3,0,2,1,2,2,3,0,1,3,2,2,3,4,4,2,3,1,26894716215660878489817387523005718151073158395469550275213159717128724692472103594889209303920475965490591512587741962086699503367021336463611283888975444474429519988465250052259408668415552757997250,459.20377825692566
4,3,4,3,3,1,4,3,4,1,0,0,3,2,2,4,4,0,3,2,2,0,0,3,1,4,0,2,2,2,1,3,0,3,1,3,1,0,1,1,4,0,1,3,0,1,0,2,0,3,5984947859288422400830109060191402601269318255241061018746111045548124197029127480450288185955933974533144542787857347418570904668302457895698981346508810000,360.9925221341448
3,2,1,4,4,3,0,4,4,2,3,4,1,4,1,0,1,3,2,1,4,1,3,3,0,1,1,2,4,2,1,0,0,1,3,0,1,1,1,2,4,3,3,1,0,3,3,1,1,3,715234296536510203087890503153911967434282738136759488143183618596601629213043678574067230245518624917711348567176888631837547409008157488612591411665325015975246145105142920,400.31466107846165
0,3,1,2,0,3,3,3,4,4,1,3,0,3,2,1,1,2,2,4,1,4,2,2,4,3,1,2,2,1,4,0,0,3,1,2,2,3,1,0,0,2,2,4,0,0,3,0,0,3,6292873178424112325960764205046120485742404198057747131202489790316185184478393709712304773947475132572533686461675211542826757712266865747335596458172539915023344995585,388.6737133745405
0,4,2,2,0,1,1,0,2,4,0,3,4,1,1,2,4,2,0,2,1,0,2,0,2,1,0,1,1,0,2,0,3,3,3,4,1,4,4,0,2,1,4,2,4,0,3,1,4,3,4033797569093158763629660426572857874054095280626898036362825987584599523116522413267122244220973353096293896273412219335565251125624589180337631647768657055164334926039025,395.1367591590681
2,0,0,1,4,3,3,0,2,4,1,0,0,0,3,3,2,3,0,0,1,2,0,3,1,4,2,4,2,0,3,2,2,2,3,3,1,1,2,3,2,2,2,1,2,2,4,4,4,4,7323010316433258246450236029510921127417865204287447016250061282471833386893472028746228469472052925742143035303185860124717744536636847086323830354780812468370284249122721455215915287527316,437.179604064724
4,0,3,3,2,2,0,4,4,3,2,0,3,0,3,3,3,4,0,1,1,2,0,2,4,1,0,3,3,2,2,4,0,0,3,1,1,2,3,1,1,0,4,1,1,1,3,3,1,3,6881054580436189767226491273637976627690200305638678009188495092919641988079932130978741587282706030518225519442671786706192911810267632619405681728709011090145547949602000,395.6708228242207
0,3,4,4,3,0,0,0,3,0,1,2,1,4,2,2,0,0,3,3,1,0,4,3,1,3,2,4,4,1,3,3,2,1,0,0,2,0,2,0,0,2,3,2,4,2,2,0,2,2,7112889864065893888160944782410192309550532755685154356570337831587678556287446557308492802561469355160941581890928258516462850649496733706274390440811621871385625,374.98069367691403
1,2,2,0,1,3,2,4,3,1,0,2,3,1,0,4,0,4,2,4,3,0,0,3,1,0,1,2,3,3,2,1,2,2,2,3,2,1,4,3,4,1,2,0,2,0,3,0,0,0,1003158241962814136047432382270535764728115597547221344632215630381713127720444280404972562212946104393796286783011108858107509116431245608977290616931830688769650,373.0219383302279
